asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
LBS-008,Belite Bio,high,TINLAREBANT,Small molecule,PHASE_3,LBS-008,,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03735810,NCT03735810,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single and Multiple Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of LBS-008 in Healthy Adult Subjects",NCT03735810,0
TQ-B3456,Chia Tai Tianqing (Sino Biopharm),high,,,,TQ-B3456,,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT03754244,NCT03754244,A Phase I Study of TQ-B3456 on Tolerance and Pharmacokinetics,NCT03754244,0
IBI101,Innovent Biologics,high,CUDAROLIMAB,Antibody,PHASE_1,IBI101,advanced solid tumor,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03758001,NCT03758001,Phase Ia/Ib Trial to Evaluate the Tolerability and Safety of IBI101 Monotherapy or in Combination With Sintilimab in Advanced Solid Tumor Patients,NCT03758001,0
BGB149,BeiGene (BeOne Medicines),high,TILVESTAMAB,Antibody,PHASE_1,BGB149,,"{""EARLY_PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03795142,NCT03795142,"A Phase I Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of BGB149 Following Single Dose Administration in Healthy Subjects",NCT03795142,0
GC007F,Gracell Biotechnologies (AstraZeneca),medium,,,,gc007f,B-cell acute lymphoblastic leukemia,"{""EARLY_PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03825718,NCT03825718,A Study of GC007F CAR-T Cell Immunotherapy for Relapsed or Refractory B- ALL,NCT03825718,0
GC022,Gracell Biotechnologies (AstraZeneca),medium,,,,gc022,B-cell acute lymphoblastic leukemia,"{""EARLY_PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT03825731,NCT03825731,A Study of GC022 CAR-T Cell Immunotherapy for Relapsed or Refractory B- ALL,NCT03825731,0
RC-01,RemeGen,high,,,,rc-01,,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT03832517,NCT03832517,"A Phase 1, Double-Blind, Dose Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of RC-01 for Injection in Healthy Adult Subjects",NCT03832517,0
SHR-A1403,Jiangsu Hengrui Pharmaceuticals,high,,,,SHR-A1403,solid tumors,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03856541,NCT03856541,"A Phase I, Open Label, Dose Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of SHR-A1403 With Intravenous Infusion in Patients With Advanced Solid Tumors",NCT03856541,0
HMPL-011,HUTCHMED,high,,,,hmpl-011,,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03860532,NCT03860532,"Phase I Randomized,Double-Blind,Placebo-controlled Trial in Healthy Male Voluteers To Examine the Safety,Tolerability,and Pharmacokinetics of HMPL-011 After A Single Dose.",NCT03860532,0
HLX12,Shanghai Henlius Biotech,high,,,,hlx12,,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT03863587,NCT03863587,"A Randomized, Parallel-controlled, Intravenous Single-dose, Phase I Clinical Study Comparing the Pharmacokinetic Profile, Safety, Tolerability and Immunogenicity of HLX12 and Cyramza (Ramucirumab) in Healthy Male Adult Subjects",NCT03863587,0
BAT8003,Bio-Thera Solutions,high,,,,BAT8003,epithelial cancer,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT03884517,NCT03884517,"An Open, Escalating Phase I Clinical Trial of BAT8003 (for Injection) on the Safety, Tolerability and Pharmacokinetics for Patients With Advanced Epithelial Cancer",NCT03884517,0
XNW7201,Evopoint Biosciences,high,,,,xnw7201,solid tumor,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03901950,NCT03901950,"A Phrase I, Open-label, Multi-center, Non-randomized, Does Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetic Profile of XNW7201 in Subjects With Advanced Solid Tumors",NCT03901950,0
HS-10296,Hansoh Pharma,medium,AUMOLERTINIB,Small molecule,APPROVAL,HS-10296,non-small cell lung cancer,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT03904823,NCT03904823,"An Open, Single-arm, Multi-center, Phase 2 Clinical Trial of Famitinib Combined With Epidermal Growth Factor Receptor (EGFR) Inhibitor HS-10296 in Patients With Advanced EGFR-mutant Non-Small Cell Lung Cancer (NSCLC)",NCT03904823,0
KBP-089,KBP Biosciences,high,,,,KBP-089,type 2 diabetes mellitus,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT03907202,NCT03907202,"A Double-blind, Placebo-controlled, Randomised, Multiple-ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of KBP-089 in Patients With Type II Diabetes",NCT03907202,0
CT053,CARsgen Therapeutics,medium,ZEVORCABTAGENE AUTOLEUCEL,Gene,PHASE_1_2,CT053,multiple myeloma,"{""PHASE1/PHASE2"": 1}","{""ACTIVE_NOT_RECRUITING"": 1}",1,NCT03915184,NCT03915184,"Open Label, Multi-center, Phase 1b/2 Clinical Trial to Evaluate the Safety and Efficacy of Autologous CAR BCMA T Cells (CT053) in Patients With Relapsed and/or Refractory Multiple Myeloma (LUMMICAR STUDY 2)",NCT03915184,0
[14c]-alflutinib mesylate,Allist Pharmaceuticals,medium,FIRMONERTINIB,Small molecule,APPROVAL,[14C]-alflutinib mesylate,,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT03941340,NCT03941340,A Phase I Mass Balance and Biotransformation Study of Orally Administered [14C]-Alflutinib Mesylate (AST2818) in Chinese Healthy Male Volunteers,NCT03941340,1
TQ-F3083,Chia Tai Tianqing (Sino Biopharm),high,,,,tq-f3083,type 2 diabetes mellitus,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT03986073,NCT03986073,"A Phase IIA , Multi-center, Randomized, Double-blind, Placebo and Positive Drug Parallel Control Study of TQ-F3083 Capsules With Different Doses in Subjects With Type 2 Diabetes Mellitus",NCT03986073,0
