asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
CND261,,,,,,CND261,rheumatoid arthritis,"{""PHASE1"": 1}","{""ACTIVE_NOT_RECRUITING"": 1}",1,NCT07052032,NCT07052032,"A Phase 1b, Open-Label, Multicenter Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, Immunogenicity, and Preliminary Clinical Activity of CND261 in Patients With Seropositive Rheumatoid Arthritis",NCT07052032,0
DIT309,,,,,,DIT309,soft tissue sarcoma | bone sarcoma,"{""PHASE1"": 1}","{""RECRUITING"": 1}",1,NCT07052383,NCT07052383,"A Single-Arm, Open-Label Clinical Study to Evaluate the Safety and Efficacy of DIT309 Cell Injection in Subjects With Advanced Bone and Soft Tissue Sarcomas",NCT07052383,0
P1801,,,,,,P1801,renal cell carcinoma | colorectal cancer,"{""PHASE1"": 1}","{""ENROLLING_BY_INVITATION"": 1}",1,NCT07053904,NCT07053904,"A Phase I, Open-Label Study to Evaluate the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of Sequential Treatment With P1101 and P1801 in Patients With Advanced Solid Tumors",NCT07053904,0
BHV-1400,,,,,,bhv-1400,IgA nephropathy,"{""PHASE1"": 1}","{""RECRUITING"": 1}",1,NCT07054684,NCT07054684,An Open-Label Biomarker Study of BHV-1400 in IgA Nephropathy,NCT07054684,0
WBF-038,,,,,,WBF-038,bone loss | breast cancer,"{""PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT07044310,NCT07044310,Phase 2 Trial of 5-Strain Probiotic Formulation in Hormone Receptor-Positive Breast Cancer Receiving Aromatase Inhibitor to Prevent Bone Loss,NCT07044310,0
GP-01,,,,,,68Ga-GP-01,solid tumor,"{""PHASE1"": 1}","{""NOT_YET_RECRUITING"": 1}",1,NCT07045428,NCT07045428,"An Exploratory, Single-Arm, Open-label Study of Safety, Pharmacokinetics, Biodistribution and Dosimetry of 68Ga-GP-01 Injection in Participants With Solid Tumors",NCT07045428,0
XENON129,,,"XENON XE-129, HYPERPOLARIZED",Small molecule,APPROVAL,xenon129,acute cellular rejection,"{""PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT07046910,NCT07046910,Advanced Immunoclinical Phenotyping of Rejection in Lung Transplant,NCT07046910,0
GRWD0715,,,,,,GRWD0715,axial spondyloarthritis,"{""PHASE1/PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT07047703,NCT07047703,"A Multi-part, Phase I/II Study to Evaluate the Safety and Tolerability of GRWD0715 in Healthy Human Volunteers and Participants With Axial Spondyloarthritis",NCT07047703,0
PNU-159682,,,,,,PNU-159682,pancreatic ductal adenocarcinoma,"{""PHASE1/PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT07049055,NCT07049055,"A Phase I/IIa Randomized Clinical Trial to Evaluate the Efficacy of EGFR-targeted, PNU-159682-packaged Nanocells & Glycolipid-Packaged Nanocells in Combination With Gemcitabine & Nab-paclitaxel in Metastatic Pancreatic Ductal Adenocarcinoma",NCT07049055,0
LUCAR-G79,,,,,,lucar-g79,autoimmune diseases,"{""PHASE1"": 1}","{""RECRUITING"": 1}",1,NCT07049081,NCT07049081,"An Open-label Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of LUCAR-G79 in Subjects With Relapsed/Refractory Autoimmune Diseases (r/r AID)",NCT07049081,0
HCW9302,,,,,,hcw9302,alopecia areata,"{""PHASE1"": 1}","{""RECRUITING"": 1}",1,NCT07049328,NCT07049328,"A Phase 1 Study of HCW9302, an IL-2 Fusion Protein, for Alopecia Areata",NCT07049328,0
