asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
cavosonstat,,,CAVOSONSTAT,Small molecule,PHASE_2,cavosonstat,cystic fibrosis | asthma | acute exacerbations of chronic obstructive pulmonary disease | chronic obstructive pulmonary disease,"{""PHASE1"": 3, ""PHASE2"": 4}","{""COMPLETED"": 5, ""UNKNOWN"": 2}",7,NCT02013388,NCT04600778,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Multiple-Ascending Dose Study Evaluating the Safety, Tolerability, and Pharmacokinetic Effects of N91115 in Healthy Subjects || A Phase 1b, Randomized, Double-Blind, Placebo-Controlled, Parallel, Group Study of N91115 to Evaluate Safety and Pharmacokinetics in Patients With Cystic Fibrosis Ho",NCT02013388|NCT02275936|NCT02589236|NCT02724527|NCT02934139|NCT04129931,0
cobolimab,,,COBOLIMAB,Antibody,PHASE_3,cobolimab,solid tumor | hepatocellular carcinoma | melanoma | advanced solid tumors | non-small cell lung cancer | cervical cancer,"{""PHASE1"": 2, ""PHASE2"": 3, ""PHASE3"": 1, ""PHASE1/PHASE2"": 1}","{""COMPLETED"": 1, ""ACTIVE_NOT_RECRUITING"": 6}",7,NCT02723955,NCT06521567,A Phase I Open Label Study of GSK3359609 Administered Alone and in Combination With Anticancer Agents in Subjects With Selected Advanced Solid Tumors || Phase II Study of TSR-022 (Cobolimab) in Combination With TSR-042 (Dostarlimab) for the Treatment of Advanced Hepatocellular Carcinoma || PHASE II NEOADJUVANT STUDY OF PD-1 INHIBITOR DOSTARLIMAB (T,NCT02723955|NCT03680508|NCT04139902|NCT04446351|NCT04655976|NCT06238635,0
iscalimab,,,ISCALIMAB,Antibody,PHASE_2,iscalimab,systemic lupus erythematosus | Sjögren's syndrome | rheumatoid arthritis | primary Sjögren's syndrome | Graves disease | lupus nephritis,"{""PHASE1"": 1, ""PHASE2"": 6}","{""COMPLETED"": 7}",7,NCT02089087,NCT04541589,"A Randomized, Double-blind, Placebo-controlled, Single Ascending Dose First-in-human Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of CFZ533 in Healthy Subjects and Rheumatoid Arthritis Patients || A Multi-center, Randomized, Double-blind, Placebo-controlled, Parallel Group Study to Assess the Safety, Tolerability",NCT02089087|NCT02291029|NCT02713256|NCT03610516|NCT03656562|NCT03905525,0
firibastat,,,FIRIBASTAT,Small molecule,PHASE_3,firibastat,hypertension | systemic hypertension | essential hypertension | left ventricular dysfunction,"{""PHASE1"": 3, ""PHASE2"": 2, ""PHASE3"": 2}","{""COMPLETED"": 6, ""TERMINATED"": 1}",7,NCT01900184,NCT04857840,"Part 1: Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Ascending Single Dose and Food Influence Study of QGC001 Administered Orally To Healthy Adult Subjects, Part 2: Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Ascending Multiple Dose Study of QGC001 Administered Orally To Healthy Adult Subjects. || Multicenter, Randomi",NCT01900184|NCT02322450|NCT03714685|NCT03715998|NCT04277884|NCT04792333,0
gs1-144,,,,,,gs1-144 | GS1-144,vasomotor symptoms,"{""PHASE1"": 6, ""PHASE2"": 1}","{""COMPLETED"": 4, ""NOT_YET_RECRUITING"": 2, ""ACTIVE_NOT_RECRUITING"": 1}",7,NCT06204250,NCT07537231,"A Phase 1 Clinical Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Single and Multiple Ascending Doses of GS1-144 Tablets || A Phase I Clinical Study Evaluating the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Single and Multiple Oral Dose Escalation of GS1-144 Tablets and the Effects of Food on",NCT06204250|NCT06385158|NCT06726850|NCT06983925|NCT07491289|NCT07534176,4
venlafaxine hydrochloride,,,VENLAFAXINE HYDROCHLORIDE,Small molecule,APPROVAL,venlafaxine hydrochloride,neuropathic pain,"{""NA"": 2, ""PHASE1"": 5}","{""COMPLETED"": 6, ""UNKNOWN"": 1}",7,NCT00167856,NCT04229602,"Effects of Venlafaxine on Chronic Neuropathic Pain Following Spinal Cord Injury || Randomized, 2-way Crossover, Bioequivalence Study of Venlafaxine Hydrochloride 150 mg Extended-Release Capsules and Effexor® XR 150 mg Extended-Release Capsules Administered as 1 x 150 mg Extended-Release Capsule in Healthy Subjects Under Fasting Conditions. || Rando",NCT00167856|NCT01260896|NCT01282801|NCT01282814|NCT01418612|NCT01418625,1
sars-cov-2 mrna vaccine,,,,,,sars-cov-2 mRNA vaccine | SARS-CoV-2 mRNA vaccine | sars-cov-2 mrna vaccine,coronavirus disease 2019 | COVID-19 | multiple sclerosis | covid-19,"{""NA"": 4, ""PHASE3"": 1, ""PHASE4"": 1, ""PHASE2"": 1}","{""COMPLETED"": 2, ""UNKNOWN"": 4, ""ACTIVE_NOT_RECRUITING"": 1}",7,NCT04843774,NCT05547243,"Vaccine-generated Immunity in Ocrelizumab-treated Patients: Longitudinal Assessments (VIOLA) || A Global, Multi-center, Randomized, Double-Blind, Placebo-controlled, Phase III Clinical Study to Evaluate the Protective Efficacy, Safety and Immunogenicity of SARS-CoV-2 Messenger Ribonucleic Acid (mRNA) Vaccine in Population Aged 18 Years and Older ||",NCT04843774|NCT04847102|NCT04939155|NCT05060991|NCT05352867|NCT05492643,2
apitegromab,,,APITEGROMAB,Antibody,PHASE_3,apitegromab,spinal muscular atrophy | obesity | overweight | facioscapulohumeral muscular dystrophy,"{""PHASE2"": 4, ""PHASE3"": 2, ""NA"": 1}","{""COMPLETED"": 3, ""ACTIVE_NOT_RECRUITING"": 1, ""NO_LONGER_AVAILABLE"": 1, ""RECRUITING"": 1, ""NOT_YET_RECRUITING"": 1}",7,NCT03921528,NCT07435129,"Phase 2 Active Treatment Study to Evaluate the Efficacy and Safety of SRK-015 in Patients With Later-Onset Spinal Muscular Atrophy (TOPAZ) || Phase 3, Double-Blind, Placebo-Controlled Trial to Evaluate the Efficacy and Safety of Apitegromab (SRK-015) in Patients With Later-Onset Spinal Muscular Atrophy Receiving Background Nusinersen or Risdiplam T",NCT03921528|NCT05156320|NCT05626855|NCT06445075|NCT06877689|NCT07047144,0
radotinib,,,RADOTINIB,Small molecule,PHASE_3,radotinib,chronic myeloid leukemia | chronic myelogenous leukemia | Parkinson's disease,"{""PHASE3"": 3, ""PHASE1/PHASE2"": 1, ""PHASE2"": 2, ""PHASE1"": 1}","{""COMPLETED"": 3, ""UNKNOWN"": 1, ""RECRUITING"": 2, ""ACTIVE_NOT_RECRUITING"": 1}",7,NCT01511289,NCT06461078,"A Phase 3 Multinational, Multi-center, Open-Label, Randomized Study of the Efficacy of Radotinib Versus Imatinib in Newly Diagnosed Ph+ CML Patients in Early Chronic Phase || A Phase I/II Multicenter Study of IY5511HCl in Philadelphia Chromosome Positive Chronic Myeloid Leukemia Patients Without Optimal Response or Tolerance to Bcr-Abl Tyrosine Kin",NCT01511289|NCT01602952|NCT02422719|NCT03459534|NCT03722420|NCT04691661,1
anaprazole sodium,,,ANAPRAZOLE SODIUM,Small molecule,APPROVAL,anaprazole sodium,reflux esophagitis,"{""PHASE1"": 4, ""PHASE2"": 1, ""PHASE4"": 2}","{""UNKNOWN"": 3, ""COMPLETED"": 2, ""NOT_YET_RECRUITING"": 2}",7,NCT04444011,NCT07345689,"A Single-center, Randomized, Open-label, Crossover Study to Evaluate the Pharmacokinetic Drug-drug Interaction of the Quadruple Therapy With Anaprazole/Amoxicilin/Clarithromycin/Bismuth in Healthy Chinese Male Subjects || A Single-center, Randomized, Double-blinded, Placebo Parallel Controlled Phase 1 Study to Evaluate the Safety and Pharmacokineti",NCT04444011|NCT04466748|NCT04467060|NCT04476394|NCT05604261|NCT07330531,4
