asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
SY-009,Shouyao Holdings,medium,,,,SY-009 | sy-009,type 2 diabetes mellitus,"{""PHASE1"": 2, ""PHASE2"": 1}","{""COMPLETED"": 2, ""UNKNOWN"": 1}",3,NCT04119947,NCT05426018,"Evaluation of Safety, Tolerance and Pharmacokinetics/Pharmacodynamics of SY-009 Capsules After Single Dose Incremental Oral Administration in Healthy Subjects || A Phase Ib Placebo-controlled Study to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of SY-009 After Multiple Ascending Doses in Patients With Type 2 Diabetes Mellitus",NCT04119947|NCT04345107|NCT05426018,0
GC022F,Gracell Biotechnologies (AstraZeneca),medium,,,,gc022f | GC022F CAR-T cell immunotherapy | GC022F,acute lymphoblastic leukemia | B-cell non-Hodgkin lymphoma | non-Hodgkin lymphoma,"{""EARLY_PHASE1"": 2, ""PHASE1/PHASE2"": 1}","{""UNKNOWN"": 3}",3,NCT04129099,NCT04626908,A Study of GC022F CAR-T Cell Immunotherapy for Relapsed or Refractory B- ALL || A Study of GC022F CAR-T Cell Immunotherapy for Relapsed or Refractory B- NHL || Clinical Study of Targeting CD19 and CD22 Chimeric Antigen Receptor T Lymphocytes in the Treatment of Recurrent or Refractory B Cell Non-Hodgkin Lymphoma,NCT04129099|NCT04412174|NCT04626908,0
BAT4406F,Bio-Thera Solutions,high,,,,BAT4406F,neuromyelitis optica spectrum disorders | neuromyelitis optica lineage disease | minimal change disease | focal segmental glomerulosclerosis,"{""PHASE1"": 1, ""PHASE2"": 1, ""PHASE2/PHASE3"": 1}","{""COMPLETED"": 1, ""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 1}",3,NCT04146285,NCT07499700,"A Phase I Clinical Trial of BAT4406F Injection on the Safety, Tolerability, and Pharmacokinetics in Patients With Neuromyelitis Optica Spectrum Disorders || A Phase II/III Study to Evaluate the Efficacy and Safety of BAT4406F Injection in Patients With Neuromyelitis Optica Lineage Disease || A Phase II/III Clinical Study Evaluating the Efficacy and",NCT04146285|NCT06044350|NCT07499700,0
BAT8001,Bio-Thera Solutions,high,,,,BAT8001 | bat8001,breast cancer | advanced solid tumor | gastric cancer,"{""PHASE1/PHASE2"": 1, ""PHASE3"": 1, ""PHASE1"": 1}","{""UNKNOWN"": 3}",3,NCT04151329,NCT04189211,"Evaluation for the Safety of BAT1306 and BAT8001 Injection for the Treatment of Patients With HER2-positive Advanced Solid Tumors Phase I/IIa Clinical Trials of Sexual, Tolerability and Pharmacokinetic Characteristics || A Clinical Study Evaluating the Efficacy and Safety of BAT8001 Injection for the Treatment of HER2-positive Advanced Breast Cance",NCT04151329|NCT04185649|NCT04189211,1
HEC74647,HEC Pharm (Sunshine Lake),high,,,,HEC74647,hepatitis C virus infection,"{""PHASE1"": 3}","{""COMPLETED"": 3}",3,NCT04201275,NCT05504876,"A Single-center, Randomized, Double-blind, Parallel, Placebo-controlled, Multiple Consecutive Dose Study to Assess the Tolerability, Pharmacokinetics and Pharmacodynamics of HEC74647 in Subjects With Chronic Hepatitis C Virus Infection || A Open-label, Single Center Drug Interaction Study Between HEC74647PA Capsule and HEC110114 in Healthy Subjects",NCT04201275|NCT04232514|NCT05504876,0
SY-004,Shouyao Holdings,medium,LY-2608204,Small molecule,PHASE_2,SY-004,type 2 diabetes mellitus,"{""PHASE2"": 1, ""PHASE1"": 2}","{""COMPLETED"": 3}",3,NCT04217291,NCT04907019,"Evaluation of the Efficacy and Safety of Different Doses of SY-004 in Patients With Type 2 Diabetes Mellitus || A Randomized, Open-label, Two-period, Double Crossover, Single Center Study to Evaluate the Effect of High-fat Diet on the Pharmacokinetics of SY-004 in Healthy Subjects || A Single Center, Open-label, Single Sequence Study to Evaluate th",NCT04217291|NCT04907006|NCT04907019,0
QL1203,Qilu Pharmaceutical,high,,,,QL1203,colorectal cancer | solid tumor,"{""PHASE3"": 1, ""PHASE1"": 1, ""PHASE1/PHASE2"": 1}","{""UNKNOWN"": 2, ""NOT_YET_RECRUITING"": 1}",3,NCT04233151,NCT06949761,"A Randomized, Multicenter, Phase 3 Study to Compare the Efficacy and Safety of QL1203 and Placebo Respectively Combined With Chemotherapy in Patients With Metastatic Colorectal Cancer || A Randomized, Double-blind and Single-dose Study to Compare the Pharmacokinetic and Safety of QL1203 and Vectibix® in Healthy Male Subjects. || A Phase Ib/II Clini",NCT04233151|NCT04234594|NCT06949761,0
BGB-3245,BeiGene (BeOne Medicines),high,BEMCENTINIB,Small molecule,PHASE_3,BGB-3245,solid tumor | solid cancer | colorectal cancer | pancreatic ductal cancer,"{""PHASE1"": 2, ""PHASE1/PHASE2"": 1}","{""TERMINATED"": 3}",3,NCT04249843,NCT06194877,"A First-in-Human, Phase 1a/1b, Open Label, Dose-Escalation and Expansion Study to Investigate the Safety, Pharmacokinetics, and Antitumor Activity of the RAF Dimer Inhibitor BGB-3245 in Patients With Advanced or Refractory Tumors || A Phase 1/2a Open-Label, Dose Escalation and Expansion Study to Investigate the Safety, Pharmacokinetics, Pharmacodyn",NCT04249843|NCT05580770|NCT06194877,0
ifenprodil,RemeGen,high,IFENPRODIL,Small molecule,APPROVAL,ifenprodil,idiopathic pulmonary fibrosis | cough | acute lung injury | COVID-19 | multiple sclerosis,"{""PHASE2"": 2, ""PHASE2/PHASE3"": 1}","{""COMPLETED"": 2, ""NOT_YET_RECRUITING"": 1}",3,NCT04318704,NCT06330077,"An Open Label Study of the Efficacy, Safety and Tolerability of NP-120 on Idiopathic Pulmonary Fibrosis and Its Associated Cough || A Randomized Open Label Phase 2b/3 Study of the Safety and Efficacy of NP-120 (Ifenprodil) for the Treatment of Hospitalized Patient With Confirmed COVID-19 Disease || A Phase 2 Trial Assessing Ifenprodil as a ReMyelin",NCT04318704|NCT04382924|NCT06330077,0
IBI939,Innovent Biologics,high,IBI-939,Unknown,PHASE_1,IBI939 | ibi939,lung cancer | malignant tumor,"{""PHASE1"": 3}","{""COMPLETED"": 3}",3,NCT04353830,NCT04672369,"A Phase 1a, Open-label, Dose-Escalation Study to Evaluate the Safety, Tolerability, and Initial Efficacy of Recombinant Human Anti-T-cell Immunoreceptor With Ig and ITIM Domains (TIGIT) Monoclonal Antibody Injection (IBI939) in Subjects With Advanced Malignant Tumors || An Open-label, Phase I Clinical Study to Evaluate the Safety, Tolerability and ",NCT04353830|NCT04672356|NCT04672369,0
