asset_id,display_name,sponsor,nct_id,phase,overall_status,study_type,primary_purpose,start_date,brief_title,official_title,why_stopped,interventions,conditions,url
SG001,enlonstobart,,NCT03852823,PHASE1,UNKNOWN,INTERVENTIONAL,TREATMENT,2019-05-23,"An Open, Multi-dose, Dose Escalation and Cohort Expansion, Phase Ⅰ Study of the Recombinant Human Anti-PD-1 Monoclonal Antibody in Patients With Advanced Tumours.","An Open, Multi-dose, Dose Escalation and Cohort Expansion, Phase Ⅰ Study of the Recombinant Human Anti-PD-1 Monoclonal Antibody in Patients With Advanced Tumours.",,SG001,solid tumors | non-small cell lung cancer | malignant mesothelioma,https://clinicaltrials.gov/study/NCT03852823
TG103,TG103,,NCT03990090,PHASE1,COMPLETED,INTERVENTIONAL,BASIC_SCIENCE,2019-07-29,"A Randomized, Double-blind, Placebo-controlled, Single Ascending Dose Phase Ia Study in Chinese Healthy Adult Subjects to Investigate the Safety, Tolerability and Pharmacokinetic of TG103","A Randomized, Double-blind, Placebo-controlled, Single Ascending Dose Phase Ia Study in Chinese Healthy Adult Subjects to Investigate the Safety, Tolerability and Pharmacokinetic of TG103",,TG103,,https://clinicaltrials.gov/study/NCT03990090
TG103,TG103,,NCT04790006,PHASE1,UNKNOWN,INTERVENTIONAL,TREATMENT,2021-04-30,"A Randomized, Double-blind, Placebo-controlled, Multicenter, Multiple Ascending Dose Phase Ib Study in Subjects With Type 2 Diabetes to Evaluate the Safety, Tolerability and Pharmacokinetic Profile of TG103 Injection","A Randomized, Double-blind, Placebo-controlled, Multicenter, Multiple Ascending Dose Phase Ib Study in Subjects With Type 2 Diabetes to Evaluate the Safety, Tolerability and Pharmacokinetic Profile of TG103 Injection",,tg103,type 2 diabetes,https://clinicaltrials.gov/study/NCT04790006
TG103,TG103,,NCT04839744,PHASE1,COMPLETED,INTERVENTIONAL,TREATMENT,2021-05-18,"A Randomized, Open-label, Parallel-Group, Comparative Study in Chinese Healthy Male Subjects to Evaluate the Safety and Pharmacokinetic Profile of TG103 Injection Produced by Two Different Manufacturing Processes","A Randomized, Open-label, Parallel-Group, Comparative Study in Chinese Healthy Male Subjects to Evaluate the Safety and Pharmacokinetic Profile of TG103 Injection Produced by Two Different Manufacturing Processes",,tg103,,https://clinicaltrials.gov/study/NCT04839744
TG103,TG103,,NCT04855292,PHASE1,COMPLETED,INTERVENTIONAL,TREATMENT,2021-07-01,"A Randomized, Double-blind, Placebo-controlled, Multiple Dose Phase Ib Study in Overweight/Obese Subjects Without Diabetes to Evaluate the Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Profile of TG103 Injection","A Randomized, Double-blind, Placebo-controlled, Multiple Dose Phase Ib Study in Overweight/Obese Subjects Without Diabetes to Evaluate the Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Profile of TG103 Injection",,TG103,obesity | overweight,https://clinicaltrials.gov/study/NCT04855292
SG001,enlonstobart,,NCT04886700,PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2021-07-31,"A Single-arm, Open-label, Multicenter, Phase II Study for Evaluation of Efficacy and Safety of the SG001 Injection for Patients With PD-L1-positive Relapsed or Metastatic Uterine Cervical Cancer","A Single-arm, Open-label, Multicenter, Phase II Study for Evaluation of Efficacy and Safety of the SG001 Injection for Patients With PD-L1-positive Relapsed or Metastatic Uterine Cervical Cancer",,enlonstobart,uterine cervical cancer | cervical cancer,https://clinicaltrials.gov/study/NCT04886700
SG001,enlonstobart,,NCT04983550,PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2021-09-30,"A Multicenter, Randomized, Controlled, Open-label, Phase II Study to Evaluate the Efficacy and Safety of SG001 in Combination With PLD in Patients With Platinum-resistant Relapsed Epithelial Ovarian Cancer","A Multicenter, Randomized, Controlled, Open-label, Phase II Study to Evaluate the Efficacy and Safety of SG001 in Combination With PLD in Patients With Platinum-resistant Relapsed Epithelial Ovarian Cancer",,sg001 | doxorubicin hydrochloride,epithelial ovarian cancer | peritoneal cancer | fallopian tube cancer,https://clinicaltrials.gov/study/NCT04983550
SG001,enlonstobart,,NCT05009953,PHASE2,TERMINATED,INTERVENTIONAL,TREATMENT,2021-09-01,"An Open-label, Multicentre, Phase II Study to Evaluate the Safety and Efficacy of Irinotecan Liposome Injection in Patients With Advanced Biliary Tract Cancer","An Open-label, Multicentre, Phase II Study to Evaluate the Safety and Efficacy of Irinotecan Liposome Injection in Patients With Advanced Biliary Tract Cancer",Internal strategy change. Not related to safety concerns.,fluorouracil | sg001 | irinotecan | leucovorin,biliary tract cancer,https://clinicaltrials.gov/study/NCT05009953
TG103,TG103,,NCT05063253,PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2021-10-31,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II Study to Evaluate the Efficacy of TG103 Injection in Overweight/Obese Subjects With Type 2 Diabetes Mellitus","A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II Study to Evaluate the Efficacy of TG103 Injection in Overweight/Obese Subjects With Type 2 Diabetes Mellitus",,TG103,type 2 diabetes mellitus,https://clinicaltrials.gov/study/NCT05063253
SG001,enlonstobart,,NCT05068141,PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2021-10-01,"A Single-arm, Open-label, Multicenter, Phase II Study to Evaluate the Efficacy and Safety of SG001 in Combination With Nab-Paclitaxel in Patients With Advanced Triple-Negative Breast Cancer (TNBC)","A Single-arm, Open-label, Multicenter, Phase II Study to Evaluate the Efficacy and Safety of SG001 in Combination With Nab-Paclitaxel in Patients With Advanced Triple-Negative Breast Cancer (TNBC)",,paclitaxel | sg001,triple-negative breast cancer,https://clinicaltrials.gov/study/NCT05068141
TG103,TG103,,NCT05299697,PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2022-05-20,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II Study of TG103 Injection in the Management of Overweight or Obesity","A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II Study of TG103 Injection in the Management of Overweight or Obesity",,tg103,overweight | obesity,https://clinicaltrials.gov/study/NCT05299697
TG103,TG103,,NCT05348122,PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2022-06-15,"A Multicenter, Randomized, Double-blind, Placebo-controlled，Dulaglutide-controlled Phase Ⅱ Trial Exploring Optimal Dosing Regimen for TG103 Injection Monotherapy in Type 2 Diabetes","A Multicenter, Randomized, Double-blind, Placebo-controlled，Dulaglutide-controlled Phase Ⅱ Trial Exploring Optimal Dosing Regimen for TG103 Injection Monotherapy in Type 2 Diabetes",,TG103 | dulaglutide,type 2 diabetes,https://clinicaltrials.gov/study/NCT05348122
SG001,enlonstobart,,NCT05508659,PHASE1/PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2022-09-20,"A Multi-centre, Randomized, Open-label, Phase 1/2 Trial to Investigate the Safety, Tolerability, and Preliminary Anti-cancer Efficacy of Duvelisib Combined With SG001 Injection in Advanced Solid Tumours","A Multi-centre, Randomized, Open-label, Phase 1/2 Trial to Investigate the Safety, Tolerability, and Preliminary Anti-cancer Efficacy of Duvelisib Combined With SG001 Injection in Advanced Solid Tumours",,duvelisib | sg001,head and neck squamous carcinoma | gastric carcinoma | colorectal cancer | esophageal carcinoma,https://clinicaltrials.gov/study/NCT05508659
GC301,GC301,,NCT05567627,,UNKNOWN,INTERVENTIONAL,TREATMENT,2022-08-01,"Single Arm, Multicenter, Open and Dose-escalation Clinical Study on Safety, Tolerance, and Efficacy of GC301, an AAV-Delivered Gene Transfer Therapy in Patients With Infantile-onset Pompe Disease","Single Arm, Multicenter, Open and Dose-escalation Clinical Study on Safety, Tolerance, and Efficacy of GC301, an AAV-Delivered Gene Transfer Therapy in Patients With Infantile-onset Pompe Disease",,GC301,Pompe disease | Pompe disease,https://clinicaltrials.gov/study/NCT05567627
