regex,origin,company_key,company_name,confidence,note
^SHR-?[A-Z]?\d,cn,hengrui,Jiangsu Hengrui Pharmaceuticals,high,SHR-xxxx / SHR-Axxxx (ADC)
^HRS-?\d,cn,hengrui,Jiangsu Hengrui Pharmaceuticals,high,HRS-xxxx
"^HR\d{5,6}$",cn,hengrui,Jiangsu Hengrui Pharmaceuticals,medium,HR20013 style
^INS0\d\d$,cn,hengrui,Jiangsu Hengrui Pharmaceuticals,medium,INS068 insulin
^IBI-?\d,cn,innovent,Innovent Biologics,high,
^AK-?\d{3}$,cn,akeso,Akeso,high,
^JS-?\d{3}$,cn,junshi,Shanghai Junshi Biosciences,high,
^TAB-?\d{3}$,cn,junshi,TopAlliance (Junshi),medium,
^HLX-?\d,cn,henlius,Shanghai Henlius Biotech,high,
^BGB-?\d,cn,beigene,BeiGene (BeOne Medicines),high,
^BGB-?A\d,cn,beigene,BeiGene (BeOne Medicines),high,
^TQB-?\d,cn,cttq,Chia Tai Tianqing (Sino Biopharm),high,
^TQ-?[A-Z]?\d,cn,cttq,Chia Tai Tianqing (Sino Biopharm),high,
^TQ[ACH]\d,cn,cttq,Chia Tai Tianqing (Sino Biopharm),medium,
^SKB-?\d,cn,kelun,Kelun-Biotech,high,
"^KL-?[A-Z]?\d{3,6}$",cn,kelun,Kelun-Biotech,medium,KL590586 / KL-A167
^A1(66|67|40|64)$,cn,kelun,Kelun-Biotech,medium,A166/A167
^A2(64|77)$,cn,kelun,Kelun-Biotech,medium,
^A400$,cn,kelun,Kelun-Biotech,medium,
^BL-?[A-Z]\d\d[A-Z]\d$,cn,baili,Baili-Bio / SystImmune,high,BL-B01D1
^BL-?\d,cn,baili,Baili-Bio / SystImmune,medium,
^SI-?B\d,cn,baili,SystImmune (Baili),high,
^GNC-?\d,cn,baili,Baili-Bio (GNC platform),high,
^DB-?1\d{3}$,cn,duality,Duality Biologics,high,
^ZG-?\d,cn,zelgen,Suzhou Zelgen,high,
^HS-?\d{5}$,cn,hansoh,Hansoh Pharma,medium,HS-10296 / HS-20093
^HMPL-?\d,cn,hutchmed,HUTCHMED,high,
^MRG-?\d,cn,miracogen,Shanghai Miracogen (Lepu),high,
^\dMW\d,cn,mabwell,Mabwell,high,9MW2821 / 8MW0511
^CMG-?\d,cn,keymed,Keymed Biosciences,high,
^CM-?\d{3}$,cn,keymed,Keymed Biosciences,medium,CM310 stapokibart
^ABSK-?\d,cn,abbisko,Abbisko Therapeutics,high,
^SIM-?\d,cn,simcere,Simcere Zaiming,high,
^BAT-?\d,cn,biothera,Bio-Thera Solutions,high,
^LM-?\d{3}$,cn,lanova,LaNova Medicines,high,
^YL-?\d{3}$,cn,medilink,MediLink Therapeutics,high,
^HB-?\d{4}$,cn,huabo,Huabo Biopharm (Huaota),medium,
^HBM-?\d,cn,harbour,Harbour BioMed,high,
^PM-?\d{4}$,cn,biotheus,Biotheus,medium,PM8002 ; PM01183-style codes are PharmaMar
^SSGJ-?\d,cn,3sbio,3SBio,high,
^SSS\d,cn,3sbio,3SBio (Sunshine Guojian),medium,
^JMT-?\d,cn,jemincare,Jemincare,high,
^JMKX\d,cn,jemincare,Jemincare,high,
^QL-?\d{4}$,cn,qilu,Qilu Pharmaceutical,high,
^QLS-?\d,cn,qilu,Qilu Pharmaceutical,high,
^QL[HFGC]\d,cn,qilu,Qilu Pharmaceutical,medium,
^KN-?0\d\d$,cn,alphamab,Alphamab Oncology,high,
^JSKN-?\d,cn,alphamab,Alphamab Oncology,high,
^ICP-?\d,cn,innocare,InnoCare Pharma,high,
^APG-?\d,cn,ascentage,Ascentage Pharma,high,
^JAB-?\d,cn,jacobio,Jacobio Pharma,high,
^D-?[01]\d{3}$,cn,inventisbio,InventisBio,medium,D-1553 garsorasib
^FCN-?\d,cn,fochon,Fochon Pharmaceuticals (Fosun),high,
^CS-?\d{4}$,cn,cstone,CStone Pharmaceuticals,medium,CS1001 sugemalimab
^CS12192$,cn,chipscreen,Chipscreen Biosciences,medium,
^GB-?\d{3}$,cn,genor,Genor Biopharma,medium,
^TJ-?\d,cn,imab,I-Mab,medium,
^TJ-?CD\d,cn,imab,I-Mab,high,
^MIL-?\d,cn,mabworks,Beijing Mabworks,high,
"^IMM-?\d{2,4}[A-Z]?$",cn,immuneonco,ImmuneOnco,medium,IMM01 / IMM2510
^TT-?0\d{4}$,cn,transthera,TransThera Sciences,medium,
"^RC-?\d{2,3}$",cn,remegen,RemeGen,high,RC48 / RC18 / RC88
^ES-?\d{3}$,cn,elpiscience,Elpiscience,medium,
^SYS-?\d{4}$,cn,cspc,CSPC Pharmaceutical,high,
^SYSA-?\d,cn,cspc,CSPC Pharmaceutical,high,
^SYH[A-Z]?-?\d,cn,cspc,CSPC Pharmaceutical,high,
^DP-?303,cn,cspc,CSPC Pharmaceutical,high,
^NBL-?0\d\d$,cn,cspc,CSPC (NovaBio),medium,
"^SY-?\d{3,4}$",cn,shouyao,Shouyao Holdings,medium,SY-5007 ; note SY-1425 is Syros
^BPI-?\d,cn,betta,Betta Pharmaceuticals,high,
^AC0\d{3}$,cn,acea,ACEA Therapeutics,medium,
^HEC-?\d,cn,hec,HEC Pharm (Sunshine Lake),high,
^ZSP-?\d,cn,zhongsheng,Guangdong Zhongsheng (Raynovent),high,
^SCT-?[A-Z]?\d,cn,sinocelltech,Sinocelltech,high,
^KBP-?\d,cn,kbp,KBP Biosciences,high,
^HP-?5\d\d$,cn,hinova,Hinova Pharmaceuticals,medium,
^MHB-?\d,cn,minghui,Minghui Pharmaceutical,high,
^LBL-?\d,cn,leads,Leads Biolabs,high,
^EVER-?\d,cn,everest,Everest Medicines,high,
^ATG-?\d,cn,antengene,Antengene,high,
^AN[0-9]{4}$,cn,adlai,Adlai Nortye,medium,
^SPH-?\d,cn,shanghaipharma,Shanghai Pharmaceuticals,high,
^HH-?\d{4}$,cn,haihe,Haihe Biopharma,medium,
^ASK[BGC]?-?\d,cn,askgene,AskGene / Aosaikang,medium,ASKB589 AskGene; ASK120067 Aosaikang
^AL-?[2-8]\d{3}$,cn,advenchen,Advenchen Laboratories,medium,
^XZP-?\d,cn,xuanzhu,Xuanzhu Biopharma,high,
^HX-?00\d$,cn,hanx,Hanx Biopharmaceuticals (Lepu),medium,
"^CT0\d{2,3}$",cn,carsgen,CARsgen Therapeutics,medium,CT041 / CT053
^CT1[0-9]{2}A?$,cn,iaso,IASO Biotherapeutics,medium,CT103A
^JWCAR-?\d,cn,jw,JW Therapeutics,high,
^IM19$,cn,immunochina,Immunochina,high,
^CNCT19$,cn,juventas,Juventas Cell Therapy,high,
^GC0\d\d[A-Z]?$,cn,gracell,Gracell Biotechnologies (AstraZeneca),medium,GC012F
^GC\d{3}$,cn,gracell,Gracell Biotechnologies,low,collides with GC (Green Cross Korea)
^CBP-?1\d{3}$,cn,coherent,Coherent Biopharma,medium,
^CBP-?[23]\d\d$,cn,connect,Connect Biopharma,medium,
^GZR-?\d,cn,ganlee,Gan & Lee Pharmaceuticals,high,
^HDM-?\d,cn,huadong,Huadong Medicine,high,
^XW-?\d{3}$,cn,sciwind,Sciwind Biosciences,high,
^RAY-?\d,cn,raynovent,Raynovent,high,
^UBT-?\d,cn,unitedlabs,The United Laboratories,high,
^HSK-?\d,cn,haisco,Haisco Pharmaceutical,high,
^SAL-?\d,cn,salubris,Salubris Biotherapeutics,medium,
^YH00\d$,cn,biocytogen,Biocytogen / Eucure,medium,YH003 ; YHxxxxx (5 digits) is Yuhan Korea
^ASC-?\d{2}$,cn,ascletis,Ascletis Pharma,high,
"^VG-?\d{3,4}$",cn,virogin,Virogin Biotech,low,
^BEBT-?\d,cn,bebetter,BeBetter Medicine,high,
^KC-?10\d\d$,cn,kechow,Kechow Pharma,medium,
^GENSCI-?\d,cn,gensci,GeneScience (Changchun High-Tech),high,
^ZL-?\d{4}$,cn,zailab,Zai Lab,high,
^XNW-?\d,cn,evopoint,Evopoint Biosciences,high,
^GT-?\d{4}[A-Z]?$,cn,kintor,Kintor Pharmaceutical,medium,GT0918 proxalutamide
^DZD-?\d,cn,dizal,Dizal Pharmaceutical,high,
^RGT-?\d,cn,regor,Regor Therapeutics,high,
^LY0\d{4}$,cn,luye,Luye Pharma,high,LY01005 ; LY3xxxxxx is Eli Lilly
^YZJ-?\d,cn,yangtze,Yangtze River Pharmaceutical,high,
^KH-?\d{3}$,cn,kanghong,Chengdu Kanghong,medium,
^GLS-?0\d\d$,cn,gloria,Harbin Gloria (GloriaBio),high,
^ESG-?\d,cn,escugen,Escugen Biotechnology,high,
^GFH-?\d,cn,genfleet,GenFleet Therapeutics,high,
^AST-?\d{4}$,cn,allist,Allist Pharmaceuticals,medium,AST2818 furmonertinib
^QX-?\d{3}[A-Z]$,cn,qyuns,Qyuns Therapeutics,high,
^GQ-?\d{4}$,cn,genequantum,GeneQuantum Healthcare,high,
^GR-?\d{4}$,cn,genrix,Genrix Bio,medium,
^DR-?\d{5}$,cn,doer,Zhejiang Doer Biologics,medium,
^BRII-?\d,cn,brii,Brii Biosciences,high,
^LBS-?\d,cn,belite,Belite Bio,high,
^RBD-?\d,cn,ribo,Suzhou Ribo Life Science,high,
^STP-?\d{3}$,cn,sirnaomics,Sirnaomics,medium,
^BW-?\d{5}$,cn,argo,Argo Biopharma,medium,
^LCAR-?B,cn,legend,Legend Biotech,high,
^BRL-?\d{3}$,cn,bioray,Bioray Laboratories,medium,
^SCB-?\d,cn,clover,Clover Biopharmaceuticals,high,
^ZF\d{4}$,cn,zhifei,Anhui Zhifei Longcom,medium,
^REC-?\d{3}$,cn,recbio,Jiangsu Recbio,medium,
^JY-?\d{2}$,cn,jiuyuan,Hangzhou Jiuyuan Gene,low,
^HG-?\d{3}$,cn,hitgen,HitGen,low,
^BA-?1\d{3}$,cn,boan,Boan Biotech (Luye),low,
^QLF-?\d,cn,qilu,Qilu Pharmaceutical,medium,
^TG-?103$,cn,tasly,Tasly / Suzhou Kanghe (TG103 GLP-1),low,
^HRS9531$,cn,hengrui,Jiangsu Hengrui Pharmaceuticals,high,
^SHR-?A\d{4}$,cn,hengrui,Jiangsu Hengrui Pharmaceuticals,high,ADC
^HRS-?[A-Z]?\d{4}$,cn,hengrui,Jiangsu Hengrui Pharmaceuticals,high,
^CTX-?\d{3}$,cn,cytexal,unknown-CTX (verify),low,
"^BC-?\d{3,4}$",cn,biocity,BioCity Biopharma,low,
^PRJ-?\d,cn,rengene,unknown (verify),low,
"^SG-?\d{3,4}$",cn,sumgen,Sumgen / Shanghai Sun-Sail (verify),low,
^EMB-?\d{2}$,cn,epimab,EpimAb Biotherapeutics,high,
^MSB-?\d{4}$,cn,mabspace,MabSpace / Transcenta,medium,
^TST-?\d{3}$,cn,transcenta,Transcenta,high,
^HTMC-?\d,cn,hutchmed,HUTCHMED (verify),low,
^ZN-?A,cn,zion,unknown (verify),low,
^MHB\d,cn,minghui,Minghui Pharmaceutical,high,
^FS-?\d{3}$,cn,fusion,Shanghai Fosun (verify),low,
^AP-?\d{3}$,cn,alebund,Alebund / Anpu (verify),low,
^OH2$,cn,binhui,Wuhan Binhui,high,
^T3011$,cn,immvira,ImmVira,high,
^MVR-?T,cn,immvira,ImmVira,high,
^VG161$,cn,virogin,Virogin Biotech,high,
^ANK-?\d,cn,anke,Anhui Anke (verify),low,
^JX-?\d{4}$,cn,jixing,Ji Xing Pharmaceuticals (verify),low,
^BGT-?\d,cn,bgt,unknown (verify),low,
^SP-?\d{4}$,cn,sp,unknown (verify),low,
"^LY(\d{6,7})$",non_cn,lilly,Eli Lilly,high,LY3xxxxxx
^PF-?\d,non_cn,pfizer,Pfizer,high,
^AZD-?\d,non_cn,astrazeneca,AstraZeneca,high,
^BMS-?\d,non_cn,bms,Bristol Myers Squibb,high,
^JNJ-?\d,non_cn,jnj,Johnson & Johnson,high,
"^BI-?\d{5,7}$",non_cn,boehringer,Boehringer Ingelheim,high,
^ABBV-?\d,non_cn,abbvie,AbbVie,high,
"^RO-?\d{6,7}$",non_cn,roche,Roche,high,
^RG-?\d{4}$,non_cn,roche,Roche/Genentech,high,
^MK-?\d{4}[A-Z]?$,non_cn,merck,Merck & Co,high,
^TAK-?\d,non_cn,takeda,Takeda,high,
^GSK-?\d,non_cn,gsk,GSK,high,
^REGN-?\d,non_cn,regeneron,Regeneron,high,
^SAR-?\d,non_cn,sanofi,Sanofi,high,
^BAY-?\d,non_cn,bayer,Bayer,high,
^NNC-?\d,non_cn,novo,Novo Nordisk,high,
^NN-?\d{4}$,non_cn,novo,Novo Nordisk,high,
^ASP-?\d,non_cn,astellas,Astellas,high,
^AMG-?\d,non_cn,amgen,Amgen,high,
"^CC-?\d{3,6}$",non_cn,celgene,Celgene/BMS,high,
^GS-?\d{4}$,non_cn,gilead,Gilead,high,
^DS-?\d{4}[A-Z]?$,non_cn,daiichi,Daiichi Sankyo,high,
^VX-?\d,non_cn,vertex,Vertex,high,
^INCB-?\d,non_cn,incyte,Incyte,high,
^BIIB-?\d,non_cn,biogen,Biogen,high,
^ALXN-?\d,non_cn,alexion,Alexion,high,
^ION-?\d,non_cn,ionis,Ionis,high,
^ONO-?\d,non_cn,ono,Ono Pharmaceutical,high,
^XMAB-?\d,non_cn,xencor,Xencor,high,
^EDP-?\d,non_cn,enanta,Enanta,high,
^MRNA-?\d,non_cn,moderna,Moderna,high,
^BNT-?\d,non_cn,biontech,BioNTech,high,BNT323 is DualityBio-origin (licensed) - handled via DB code
^TAS-?\d,non_cn,taiho,Taiho,high,
^GEN-?\d{4}$,non_cn,genmab,Genmab,high,
^CKD-?\d,non_cn,ckd,Chong Kun Dang (KR),high,
^DW[JPC]?-?\d,non_cn,daewoong,Daewoong (KR),high,
^HCP-?\d,non_cn,hanmi,Hanmi (KR),high,
^HM-?\d{5}$,non_cn,hanmi,Hanmi (KR),high,
^BR-?\d{4}$,non_cn,boryung,Boryung (KR),medium,
^AD-?\d{3}$,non_cn,addpharma,AddPharma (KR),medium,
^DA-?\d{4}$,non_cn,donga,Dong-A ST (KR),high,
^YH\d{5}$,non_cn,yuhan,Yuhan (KR),high,
"^SB\d{1,2}$",non_cn,samsungbioepis,Samsung Bioepis (KR),high,
^CT-?P\d,non_cn,celltrion,Celltrion (KR),high,
^ABL-?\d,non_cn,ablbio,ABL Bio (KR),high,
